Rate_Ratio
" Pennsylvania Resident Deaths: Crude/Age-Specific Rates per 100,000"

CauseofDeaths,CountyState,Year,Sex,RaceEthnicity,Age,Obs_Count,Exp_Count,Population,TRateRatio,RateRatio,LowerBound,UpperBound,Significance,FIPSCode
Coronary heart disease,Pennsylvania,2022,Male,White,35 to 39,41,ND,"338,891",Crude/Age-Specific Rate,12.1,8.4,15.8,,000
Coronary heart disease,Pennsylvania,2022,Male,White,40 to 44,80,ND,"320,564",Crude/Age-Specific Rate,25.0,19.5,30.4,,000
Coronary heart disease,Pennsylvania,2022,Male,White,45 to 49,125,ND,"296,678",Crude/Age-Specific Rate,42.1,34.7,49.5,,000
Coronary heart disease,Pennsylvania,2022,Male,Black,35 to 39,15,ND,"52,281",Crude/Age-Specific Rate,28.7,14.2,43.2,,000
Coronary heart disease,Pennsylvania,2022,Male,Black,40 to 44,21,ND,"46,769",Crude/Age-Specific Rate,44.9,25.7,64.1,,000
Coronary heart disease,Pennsylvania,2022,Male,Black,45 to 49,33,ND,"41,005",Crude/Age-Specific Rate,80.5,53.0,107.9,,000
Coronary heart disease,Pennsylvania,2022,Male,Asian/Pacific Islander,35 to 39,1,ND,"23,944",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Male,Asian/Pacific Islander,40 to 44,3,ND,"21,180",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Male,Asian/Pacific Islander,45 to 49,1,ND,"18,447",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Male,Multi-Race,35 to 39,0,ND,"7,080",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Male,Multi-Race,40 to 44,2,ND,"6,111",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Male,Multi-Race,45 to 49,1,ND,"4,852",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Male,Hispanic,35 to 39,3,ND,"43,504",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Male,Hispanic,40 to 44,2,ND,"39,321",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Male,Hispanic,45 to 49,18,ND,"32,887",Crude/Age-Specific Rate,54.7,29.5,80.0,,000
Coronary heart disease,Pennsylvania,2022,Female,White,35 to 39,17,ND,"322,120",Crude/Age-Specific Rate,5.3,2.8,7.8,,000
Coronary heart disease,Pennsylvania,2022,Female,White,40 to 44,27,ND,"308,342",Crude/Age-Specific Rate,8.8,5.5,12.1,,000
Coronary heart disease,Pennsylvania,2022,Female,White,45 to 49,66,ND,"288,144",Crude/Age-Specific Rate,22.9,17.4,28.4,,000
Coronary heart disease,Pennsylvania,2022,Female,Black,35 to 39,7,ND,"53,756",Crude/Age-Specific Rate,ND,ND,ND,,000
Coronary heart disease,Pennsylvania,2022,Female,Black,40 to 44,19,ND,"50,156",Crude/Age-Specific Rate,37.9,20.9,54.9,,000
Coronary heart disease,Pennsylvania,2022,Female,Black,45 to 49,18,ND,"43,956",Crude/Age-Specific Rate,41.0,22.0,59.9,,000
Coronary heart disease,Pennsylvania,2022,Female,Asian/Pacific Islander,35 to 39,0,ND,"24,394",Crude/Age-Specific Rate,ND,ND,ND,,000
