Rate_Ratio
" Pennsylvania Resident Deaths: Crude/Age-Specific Rates per 100,000"

CauseofDeaths,CountyState,Year,Sex,RaceEthnicity,Age,Obs_Count,Exp_Count,Population,TRateRatio,RateRatio,LowerBound,UpperBound,Significance,FIPSCode
Suicide (intentional self-harm),Pennsylvania,2022,Male,White,25 to 29,84,ND,"316,156",Crude/Age-Specific Rate,26.6,20.9,32.3,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,White,30 to 34,111,ND,"344,726",Crude/Age-Specific Rate,32.2,26.2,38.2,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,White,35 to 39,110,ND,"338,891",Crude/Age-Specific Rate,32.5,26.4,38.5,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,White,40 to 44,99,ND,"320,564",Crude/Age-Specific Rate,30.9,24.8,37.0,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,White,45 to 49,99,ND,"296,678",Crude/Age-Specific Rate,33.4,26.8,39.9,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,White,50 to 54,120,ND,"344,093",Crude/Age-Specific Rate,34.9,28.6,41.1,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,White,55 to 59,124,ND,"367,307",Crude/Age-Specific Rate,33.8,27.8,39.7,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,White,60 to 64,130,ND,"386,276",Crude/Age-Specific Rate,33.7,27.9,39.4,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Black,25 to 29,16,ND,"63,192",Crude/Age-Specific Rate,25.3,12.9,37.7,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Black,30 to 34,17,ND,"66,251",Crude/Age-Specific Rate,25.7,13.5,37.9,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Black,35 to 39,14,ND,"52,281",Crude/Age-Specific Rate,26.8,12.8,40.8,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Black,40 to 44,6,ND,"46,769",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Black,45 to 49,11,ND,"41,005",Crude/Age-Specific Rate,26.8,11.0,42.7,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Black,50 to 54,4,ND,"43,635",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Black,55 to 59,4,ND,"42,334",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Black,60 to 64,8,ND,"38,582",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Asian/Pacific Islander,25 to 29,8,ND,"19,393",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Asian/Pacific Islander,30 to 34,2,ND,"23,363",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Asian/Pacific Islander,35 to 39,1,ND,"23,944",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Asian/Pacific Islander,40 to 44,1,ND,"21,180",Crude/Age-Specific Rate,ND,ND,ND,,000
Suicide (intentional self-harm),Pennsylvania,2022,Male,Asian/Pacific Islander,45 to 49,3,ND,"18,447",Crude/Age-Specific Rate,ND,ND,ND,,000
